date,time_slot,price,load_rate,(调控后)日前预测价格(元/MWh),边界数据类型,竞价空间(MW),新能源负荷(MW),省调负荷(MW),联络线计划(MW),日前在线机组容量(MW)
2025-01-01,00:15,350.0,74.3,,,,,,,
2025-01-01,00:30,330.0,74.3,,,,,,,
2025-01-01,00:45,345.0,73.4,,,,,,,
2025-01-01,01:00,330.0,72.6,,,,,,,
2025-01-01,01:15,330.0,72.4,,,,,,,
2025-01-01,01:30,330.0,71.9,,,,,,,
2025-01-01,01:45,320.0,71.4,,,,,,,
2025-01-01,02:00,330.0,71.0,,,,,,,
2025-01-01,02:15,310.35,70.6,,,,,,,
2025-01-01,02:30,300.0,70.0,,,,,,,
2025-01-01,02:45,287.14,69.5,,,,,,,
2025-01-01,03:00,285.0,69.6,,,,,,,
2025-01-01,03:15,282.2,69.4,,,,,,,
2025-01-01,03:30,285.0,68.8,,,,,,,
2025-01-01,03:45,280.0,68.7,,,,,,,
2025-01-01,04:00,278.0,68.4,,,,,,,
2025-01-01,04:15,282.2,68.2,,,,,,,
2025-01-01,04:30,282.0,68.1,,,,,,,
2025-01-01,04:45,280.0,67.7,,,,,,,
2025-01-01,05:00,287.14,68.3,,,,,,,
2025-01-01,05:15,300.0,68.5,,,,,,,
2025-01-01,05:30,295.0,68.6,,,,,,,
2025-01-01,05:45,300.0,69.1,,,,,,,
2025-01-01,06:00,310.0,69.7,,,,,,,
2025-01-01,06:15,320.0,71.0,,,,,,,
2025-01-01,06:30,339.0,72.8,,,,,,,
2025-01-01,06:45,350.0,74.4,,,,,,,
2025-01-01,07:00,330.0,75.8,,,,,,,
2025-01-01,07:15,350.0,77.4,,,,,,,
2025-01-01,07:30,350.0,77.0,,,,,,,
2025-01-01,07:45,385.0,77.8,,,,,,,
2025-01-01,08:00,350.0,78.1,,,,,,,
2025-01-01,08:15,379.0,79.2,,,,,,,
2025-01-01,08:30,365.0,78.7,,,,,,,
2025-01-01,08:45,350.0,76.6,,,,,,,
2025-01-01,09:00,315.0,72.0,,,,,,,
2025-01-01,09:15,297.0,66.9,,,,,,,
2025-01-01,09:30,277.0,63.1,,,,,,,
2025-01-01,09:45,263.0,59.9,,,,,,,
2025-01-01,10:00,227.0,57.1,,,,,,,
2025-01-01,10:15,200.97,56.4,,,,,,,
2025-01-01,10:30,22.33,53.9,,,,,,,
2025-01-01,10:45,22.36,53.7,,,,,,,
2025-01-01,11:00,22.42,52.0,,,,,,,
2025-01-01,11:15,22.87,51.5,,,,,,,
2025-01-01,11:30,23.11,51.0,,,,,,,
2025-01-01,11:45,23.41,49.7,,,,,,,
2025-01-01,12:00,23.35,48.1,,,,,,,
2025-01-01,12:15,24.45,46.8,,,,,,,
2025-01-01,12:30,24.07,45.9,,,,,,,
2025-01-01,12:45,24.2,45.4,,,,,,,
2025-01-01,13:00,24.24,44.8,,,,,,,
2025-01-01,13:15,24.58,44.9,,,,,,,
2025-01-01,13:30,24.54,45.1,,,,,,,
2025-01-01,13:45,24.61,45.3,,,,,,,
2025-01-01,14:00,24.39,46.1,,,,,,,
2025-01-01,14:15,24.19,47.9,,,,,,,
2025-01-01,14:30,23.99,49.6,,,,,,,
2025-01-01,14:45,24.33,51.8,,,,,,,
2025-01-01,15:00,23.9,52.6,,,,,,,
2025-01-01,15:15,22.86,53.6,,,,,,,
2025-01-01,15:30,112.92,55.1,,,,,,,
2025-01-01,15:45,200.0,58.3,,,,,,,
2025-01-01,16:00,280.05,61.0,,,,,,,
2025-01-01,16:15,317.2,68.5,,,,,,,
2025-01-01,16:30,319.0,71.9,,,,,,,
2025-01-01,16:45,350.0,76.5,,,,,,,
2025-01-01,17:00,821.11,79.5,,,,,,,
2025-01-01,17:15,450.0,81.5,,,,,,,
2025-01-01,17:30,1000.0,83.6,,,,,,,
2025-01-01,17:45,1000.0,84.4,,,,,,,
2025-01-01,18:00,1000.0,84.8,,,,,,,
2025-01-01,18:15,1025.0,85.5,,,,,,,
2025-01-01,18:30,1000.0,85.3,,,,,,,
2025-01-01,18:45,799.0,84.9,,,,,,,
2025-01-01,19:00,410.0,83.3,,,,,,,
2025-01-01,19:15,821.11,83.3,,,,,,,
2025-01-01,19:30,395.0,82.5,,,,,,,
2025-01-01,19:45,700.0,82.2,,,,,,,
2025-01-01,20:00,398.0,81.8,,,,,,,
2025-01-01,20:15,1000.0,82.1,,,,,,,
2025-01-01,20:30,429.0,81.9,,,,,,,
2025-01-01,20:45,1000.0,81.9,,,,,,,
2025-01-01,21:00,1025.0,82.2,,,,,,,
2025-01-01,21:15,1000.0,81.5,,,,,,,
2025-01-01,21:30,420.0,81.9,,,,,,,
2025-01-01,21:45,1000.0,81.9,,,,,,,
2025-01-01,22:00,711.69,82.0,,,,,,,
2025-01-01,22:15,500.0,81.8,,,,,,,
2025-01-01,22:30,429.0,81.0,,,,,,,
2025-01-01,22:45,398.4,79.7,,,,,,,
2025-01-01,23:00,398.0,77.8,,,,,,,
2025-01-01,23:15,395.0,76.3,,,,,,,
2025-01-01,23:30,350.0,75.5,,,,,,,
2025-01-01,23:45,379.0,75.0,,,,,,,
2025-01-01,24:00,350.0,75.4,,,,,,,
2025-01-02,00:15,320.0,74.5,,,,,,,
2025-01-02,00:30,350.0,75.2,,,,,,,
2025-01-02,00:45,330.0,74.7,,,,,,,
2025-01-02,01:00,349.12,74.5,,,,,,,
2025-01-02,01:15,350.0,74.4,,,,,,,
2025-01-02,01:30,345.0,74.5,,,,,,,
2025-01-02,01:45,340.0,74.0,,,,,,,
2025-01-02,02:00,350.0,74.5,,,,,,,
2025-01-02,02:15,350.0,74.2,,,,,,,
2025-01-02,02:30,330.0,74.5,,,,,,,
2025-01-02,02:45,330.0,74.5,,,,,,,
2025-01-02,03:00,330.0,74.2,,,,,,,
2025-01-02,03:15,339.0,74.6,,,,,,,
2025-01-02,03:30,320.0,74.0,,,,,,,
2025-01-02,03:45,330.0,74.3,,,,,,,
2025-01-02,04:00,325.0,74.0,,,,,,,
2025-01-02,04:15,330.0,74.2,,,,,,,
2025-01-02,04:30,325.0,74.3,,,,,,,
2025-01-02,04:45,330.0,74.5,,,,,,,
2025-01-02,05:00,330.0,74.7,,,,,,,
2025-01-02,05:15,339.0,75.2,,,,,,,
2025-01-02,05:30,330.0,75.3,,,,,,,
2025-01-02,05:45,350.0,75.9,,,,,,,
2025-01-02,06:00,350.0,76.5,,,,,,,
2025-01-02,06:15,429.0,77.6,,,,,,,
2025-01-02,06:30,410.0,79.1,,,,,,,
2025-01-02,06:45,1031.0,80.0,,,,,,,
2025-01-02,07:00,1037.0,80.1,,,,,,,
2025-01-02,07:15,1025.0,80.9,,,,,,,
2025-01-02,07:30,1000.0,81.8,,,,,,,
2025-01-02,07:45,1068.0,82.9,,,,,,,
2025-01-02,08:00,1074.9,83.5,,,,,,,
2025-01-02,08:15,1068.0,84.6,,,,,,,
2025-01-02,08:30,1037.0,83.7,,,,,,,
2025-01-02,08:45,1000.0,81.7,,,,,,,
2025-01-02,09:00,398.0,78.8,,,,,,,
2025-01-02,09:15,320.0,73.9,,,,,,,
2025-01-02,09:30,308.0,69.8,,,,,,,
2025-01-02,09:45,282.2,65.0,,,,,,,
2025-01-02,10:00,275.0,61.6,,,,,,,
2025-01-02,10:15,270.0,58.6,,,,,,,
2025-01-02,10:30,200.0,55.5,,,,,,,
2025-01-02,10:45,22.79,54.9,,,,,,,
2025-01-02,11:00,22.84,52.7,,,,,,,
2025-01-02,11:15,23.42,51.5,,,,,,,
2025-01-02,11:30,23.47,50.5,,,,,,,
2025-01-02,11:45,23.56,48.4,,,,,,,
2025-01-02,12:00,23.58,45.8,,,,,,,
2025-01-02,12:15,24.6,44.2,,,,,,,
2025-01-02,12:30,24.42,43.0,,,,,,,
2025-01-02,12:45,24.47,42.0,,,,,,,
2025-01-02,13:00,24.25,40.7,,,,,,,
2025-01-02,13:15,24.47,41.0,,,,,,,
2025-01-02,13:30,24.36,40.4,,,,,,,
2025-01-02,13:45,24.35,41.2,,,,,,,
2025-01-02,14:00,24.05,42.2,,,,,,,
2025-01-02,14:15,23.77,43.3,,,,,,,
2025-01-02,14:30,23.51,45.1,,,,,,,
2025-01-02,14:45,23.37,47.0,,,,,,,
2025-01-02,15:00,23.16,48.5,,,,,,,
2025-01-02,15:15,22.66,50.6,,,,,,,
2025-01-02,15:30,21.19,54.0,,,,,,,
2025-01-02,15:45,269.0,57.5,,,,,,,
2025-01-02,16:00,269.29,60.8,,,,,,,
2025-01-02,16:15,291.0,68.6,,,,,,,
2025-01-02,16:30,315.0,72.8,,,,,,,
2025-01-02,16:45,350.0,77.1,,,,,,,
2025-01-02,17:00,385.0,79.7,,,,,,,
2025-01-02,17:15,365.0,82.1,,,,,,,
2025-01-02,17:30,360.0,84.0,,,,,,,
2025-01-02,17:45,350.0,85.0,,,,,,,
2025-01-02,18:00,397.59,85.1,,,,,,,
2025-01-02,18:15,350.0,85.5,,,,,,,
2025-01-02,18:30,350.0,84.8,,,,,,,
2025-01-02,18:45,350.0,84.4,,,,,,,
2025-01-02,19:00,350.0,84.1,,,,,,,
2025-01-02,19:15,350.0,83.4,,,,,,,
2025-01-02,19:30,350.0,83.1,,,,,,,
2025-01-02,19:45,350.0,82.1,,,,,,,
2025-01-02,20:00,350.0,81.7,,,,,,,
2025-01-02,20:15,355.0,81.6,,,,,,,
2025-01-02,20:30,351.0,82.6,,,,,,,
2025-01-02,20:45,360.0,82.3,,,,,,,
2025-01-02,21:00,440.0,82.2,,,,,,,
2025-01-02,21:15,398.0,82.3,,,,,,,
2025-01-02,21:30,398.4,82.2,,,,,,,
2025-01-02,21:45,398.4,82.3,,,,,,,
2025-01-02,22:00,410.0,81.7,,,,,,,
2025-01-02,22:15,398.4,81.3,,,,,,,
2025-01-02,22:30,350.0,80.2,,,,,,,
2025-01-02,22:45,350.0,78.9,,,,,,,
2025-01-02,23:00,339.0,75.9,,,,,,,
2025-01-02,23:15,340.0,74.6,,,,,,,
2025-01-02,23:30,320.0,73.8,,,,,,,
2025-01-02,23:45,330.0,72.9,,,,,,,
2025-01-02,24:00,312.0,72.2,,,,,,,
2025-01-03,00:15,320.0,73.1,,,,,,,
2025-01-03,00:30,313.0,73.4,,,,,,,
2025-01-03,00:45,319.0,73.1,,,,,,,
2025-01-03,01:00,315.0,72.7,,,,,,,
2025-01-03,01:15,313.0,71.0,,,,,,,
2025-01-03,01:30,300.0,70.7,,,,,,,
2025-01-03,01:45,305.0,70.4,,,,,,,
2025-01-03,02:00,305.0,70.3,,,,,,,
2025-01-03,02:15,300.0,69.7,,,,,,,
2025-01-03,02:30,290.0,69.5,,,,,,,
2025-01-03,02:45,297.0,69.6,,,,,,,
2025-01-03,03:00,290.0,69.2,,,,,,,
2025-01-03,03:15,300.0,69.0,,,,,,,
2025-01-03,03:30,290.0,69.0,,,,,,,
2025-01-03,03:45,300.0,68.6,,,,,,,
2025-01-03,04:00,300.0,68.6,,,,,,,
2025-01-03,04:15,300.0,68.1,,,,,,,
2025-01-03,04:30,300.0,68.6,,,,,,,
2025-01-03,04:45,300.0,68.6,,,,,,,
2025-01-03,05:00,300.0,68.5,,,,,,,
2025-01-03,05:15,300.0,68.9,,,,,,,
2025-01-03,05:30,305.0,69.8,,,,,,,
2025-01-03,05:45,300.0,70.0,,,,,,,
2025-01-03,06:00,310.0,70.8,,,,,,,
2025-01-03,06:15,315.0,73.3,,,,,,,
2025-01-03,06:30,320.0,74.2,,,,,,,
2025-01-03,06:45,330.0,75.5,,,,,,,
2025-01-03,07:00,320.0,75.8,,,,,,,
2025-01-03,07:15,340.0,78.4,,,,,,,
2025-01-03,07:30,332.0,78.5,,,,,,,
2025-01-03,07:45,350.0,80.3,,,,,,,
2025-01-03,08:00,360.0,81.2,,,,,,,
2025-01-03,08:15,349.0,81.5,,,,,,,
2025-01-03,08:30,332.0,79.1,,,,,,,
2025-01-03,08:45,325.0,77.4,,,,,,,
2025-01-03,09:00,305.0,72.0,,,,,,,
2025-01-03,09:15,293.0,66.2,,,,,,,
2025-01-03,09:30,272.0,62.1,,,,,,,
2025-01-03,09:45,226.0,58.2,,,,,,,
2025-01-03,10:00,23.56,55.7,,,,,,,
2025-01-03,10:15,23.81,53.6,,,,,,,
2025-01-03,10:30,23.77,51.2,,,,,,,
2025-01-03,10:45,23.71,49.8,,,,,,,
2025-01-03,11:00,23.98,49.0,,,,,,,
2025-01-03,11:15,24.56,48.9,,,,,,,
2025-01-03,11:30,24.81,48.6,,,,,,,
2025-01-03,11:45,25.01,47.3,,,,,,,
2025-01-03,12:00,25.21,45.3,,,,,,,
2025-01-03,12:15,26.14,42.9,,,,,,,
2025-01-03,12:30,26.23,42.7,,,,,,,
2025-01-03,12:45,26.2,41.5,,,,,,,
2025-01-03,13:00,26.2,41.0,,,,,,,
2025-01-03,13:15,26.35,41.1,,,,,,,
2025-01-03,13:30,26.39,41.5,,,,,,,
2025-01-03,13:45,26.43,42.2,,,,,,,
2025-01-03,14:00,26.18,43.7,,,,,,,
2025-01-03,14:15,26.14,45.3,,,,,,,
2025-01-03,14:30,25.89,46.9,,,,,,,
2025-01-03,14:45,25.57,49.9,,,,,,,
2025-01-03,15:00,25.11,50.8,,,,,,,
2025-01-03,15:15,246.38,53.5,,,,,,,
2025-01-03,15:30,252.0,56.5,,,,,,,
2025-01-03,15:45,275.0,59.9,,,,,,,
2025-01-03,16:00,282.2,62.8,,,,,,,
2025-01-03,16:15,300.0,69.9,,,,,,,
2025-01-03,16:30,320.0,74.0,,,,,,,
2025-01-03,16:45,332.0,78.7,,,,,,,
2025-01-03,17:00,347.0,81.5,,,,,,,
2025-01-03,17:15,350.0,84.0,,,,,,,
2025-01-03,17:30,350.0,85.7,,,,,,,
2025-01-03,17:45,360.0,87.2,,,,,,,
2025-01-03,18:00,358.0,87.1,,,,,,,
2025-01-03,18:15,350.0,87.2,,,,,,,
2025-01-03,18:30,360.0,87.4,,,,,,,
2025-01-03,18:45,350.0,86.6,,,,,,,
2025-01-03,19:00,350.0,86.7,,,,,,,
2025-01-03,19:15,340.0,84.7,,,,,,,
2025-01-03,19:30,330.0,83.9,,,,,,,
2025-01-03,19:45,330.0,83.3,,,,,,,
2025-01-03,20:00,320.0,81.8,,,,,,,
2025-01-03,20:15,327.0,80.4,,,,,,,
2025-01-03,20:30,325.0,80.9,,,,,,,
2025-01-03,20:45,332.0,80.8,,,,,,,
2025-01-03,21:00,320.0,78.8,,,,,,,
2025-01-03,21:15,328.0,77.4,,,,,,,
2025-01-03,21:30,330.0,77.3,,,,,,,
2025-01-03,21:45,327.0,76.4,,,,,,,
2025-01-03,22:00,315.0,75.2,,,,,,,
2025-01-03,22:15,320.0,72.9,,,,,,,
2025-01-03,22:30,310.0,70.8,,,,,,,
2025-01-03,22:45,300.0,68.8,,,,,,,
2025-01-03,23:00,297.0,67.1,,,,,,,
2025-01-03,23:15,290.0,65.9,,,,,,,
2025-01-03,23:30,285.0,65.1,,,,,,,
2025-01-03,23:45,282.2,63.5,,,,,,,
2025-01-03,24:00,280.0,63.1,,,,,,,
2025-01-04,00:15,237.0,62.7,,,,,,,
2025-01-04,00:30,260.0,63.1,,,,,,,
2025-01-04,00:45,250.0,62.2,,,,,,,
2025-01-04,01:00,258.0,61.4,,,,,,,
2025-01-04,01:15,250.0,60.9,,,,,,,
2025-01-04,01:30,250.0,60.1,,,,,,,
2025-01-04,01:45,250.0,59.8,,,,,,,
2025-01-04,02:00,260.0,59.4,,,,,,,
2025-01-04,02:15,260.0,58.8,,,,,,,
2025-01-04,02:30,227.99,58.5,,,,,,,
2025-01-04,02:45,249.08,58.2,,,,,,,
2025-01-04,03:00,204.14,57.9,,,,,,,
2025-01-04,03:15,204.17,57.9,,,,,,,
2025-01-04,03:30,112.58,58.1,,,,,,,
2025-01-04,03:45,21.11,57.3,,,,,,,
2025-01-04,04:00,249.08,57.4,,,,,,,
2025-01-04,04:15,204.2,57.2,,,,,,,
2025-01-04,04:30,250.0,57.5,,,,,,,
2025-01-04,04:45,250.0,57.6,,,,,,,
2025-01-04,05:00,250.0,57.4,,,,,,,
2025-01-04,05:15,250.0,57.4,,,,,,,
2025-01-04,05:30,250.0,58.5,,,,,,,
2025-01-04,05:45,250.0,58.3,,,,,,,
2025-01-04,06:00,257.0,59.1,,,,,,,
2025-01-04,06:15,260.0,59.9,,,,,,,
2025-01-04,06:30,260.0,60.5,,,,,,,
2025-01-04,06:45,260.0,61.7,,,,,,,
2025-01-04,07:00,260.0,61.6,,,,,,,
2025-01-04,07:15,270.0,63.3,,,,,,,
2025-01-04,07:30,271.0,64.4,,,,,,,
2025-01-04,07:45,290.0,65.6,,,,,,,
2025-01-04,08:00,290.0,66.7,,,,,,,
2025-01-04,08:15,294.0,67.8,,,,,,,
2025-01-04,08:30,280.0,65.5,,,,,,,
2025-01-04,08:45,280.0,63.9,,,,,,,
2025-01-04,09:00,250.0,59.4,,,,,,,
2025-01-04,09:15,204.07,55.9,,,,,,,
2025-01-04,09:30,20.65,51.7,,,,,,,
2025-01-04,09:45,20.62,48.2,,,,,,,
2025-01-04,10:00,20.96,47.0,,,,,,,
2025-01-04,10:15,21.77,48.2,,,,,,,
2025-01-04,10:30,21.98,46.7,,,,,,,
